年度,月份,區域代碼,區域別,性別,相同性別結婚對數,相同性別終止結婚對數
110,2,64000000,高雄市,計,22,5
110,2,64000000,高雄市,男,8,2
110,2,64000000,高雄市,女,14,3
110,2,64000010,鹽埕區,計,0,0
110,2,64000010,鹽埕區,男,0,0
110,2,64000010,鹽埕區,女,0,0
110,2,64000020,鼓山區,計,0,2
110,2,64000020,鼓山區,男,0,0
110,2,64000020,鼓山區,女,0,2
110,2,64000030,左營區,計,4,0
110,2,64000030,左營區,男,1,0
110,2,64000030,左營區,女,3,0
110,2,64000040,楠梓區,計,2,0
110,2,64000040,楠梓區,男,1,0
110,2,64000040,楠梓區,女,1,0
110,2,64000050,三民區,計,1,0
110,2,64000050,三民區,男,0,0
110,2,64000050,三民區,女,1,0
110,2,64000060,新興區,計,2,1
110,2,64000060,新興區,男,0,1
110,2,64000060,新興區,女,2,0
110,2,64000070,前金區,計,0,0
110,2,64000070,前金區,男,0,0
110,2,64000070,前金區,女,0,0
110,2,64000080,苓雅區,計,0,0
110,2,64000080,苓雅區,男,0,0
110,2,64000080,苓雅區,女,0,0
110,2,64000090,前鎮區,計,3,0
110,2,64000090,前鎮區,男,1,0
110,2,64000090,前鎮區,女,2,0
110,2,64000100,旗津區,計,0,0
110,2,64000100,旗津區,男,0,0
110,2,64000100,旗津區,女,0,0
110,2,64000110,小港區,計,1,1
110,2,64000110,小港區,男,1,1
110,2,64000110,小港區,女,0,0
110,2,64000120,鳳山區,計,2,1
110,2,64000120,鳳山區,男,1,0
110,2,64000120,鳳山區,女,1,1
110,2,64000130,林園區,計,1,0
110,2,64000130,林園區,男,1,0
110,2,64000130,林園區,女,0,0
110,2,64000140,大寮區,計,0,0
110,2,64000140,大寮區,男,0,0
110,2,64000140,大寮區,女,0,0
110,2,64000150,大樹區,計,0,0
110,2,64000150,大樹區,男,0,0
110,2,64000150,大樹區,女,0,0
110,2,64000160,大社區,計,0,0
110,2,64000160,大社區,男,0,0
110,2,64000160,大社區,女,0,0
110,2,64000170,仁武區,計,3,0
110,2,64000170,仁武區,男,2,0
110,2,64000170,仁武區,女,1,0
110,2,64000180,鳥松區,計,0,0
110,2,64000180,鳥松區,男,0,0
110,2,64000180,鳥松區,女,0,0
110,2,64000190,岡山區,計,1,0
110,2,64000190,岡山區,男,0,0
110,2,64000190,岡山區,女,1,0
110,2,64000200,橋頭區,計,0,0
110,2,64000200,橋頭區,男,0,0
110,2,64000200,橋頭區,女,0,0
110,2,64000210,燕巢區,計,0,0
110,2,64000210,燕巢區,男,0,0
110,2,64000210,燕巢區,女,0,0
110,2,64000220,田寮區,計,0,0
110,2,64000220,田寮區,男,0,0
110,2,64000220,田寮區,女,0,0
110,2,64000230,阿蓮區,計,0,0
110,2,64000230,阿蓮區,男,0,0
110,2,64000230,阿蓮區,女,0,0
110,2,64000240,路竹區,計,0,0
110,2,64000240,路竹區,男,0,0
110,2,64000240,路竹區,女,0,0
110,2,64000250,湖內區,計,0,0
110,2,64000250,湖內區,男,0,0
110,2,64000250,湖內區,女,0,0
110,2,64000260,茄萣區,計,0,0
110,2,64000260,茄萣區,男,0,0
110,2,64000260,茄萣區,女,0,0
110,2,64000270,永安區,計,0,0
110,2,64000270,永安區,男,0,0
110,2,64000270,永安區,女,0,0
110,2,64000280,彌陀區,計,1,0
110,2,64000280,彌陀區,男,0,0
110,2,64000280,彌陀區,女,1,0
110,2,64000290,梓官區,計,0,0
110,2,64000290,梓官區,男,0,0
110,2,64000290,梓官區,女,0,0
110,2,64000300,旗山區,計,1,0
110,2,64000300,旗山區,男,0,0
110,2,64000300,旗山區,女,1,0
110,2,64000310,美濃區,計,0,0
110,2,64000310,美濃區,男,0,0
110,2,64000310,美濃區,女,0,0
110,2,64000320,六龜區,計,0,0
110,2,64000320,六龜區,男,0,0
110,2,64000320,六龜區,女,0,0
110,2,64000330,甲仙區,計,0,0
110,2,64000330,甲仙區,男,0,0
110,2,64000330,甲仙區,女,0,0
110,2,64000340,杉林區,計,0,0
110,2,64000340,杉林區,男,0,0
110,2,64000340,杉林區,女,0,0
110,2,64000350,內門區,計,0,0
110,2,64000350,內門區,男,0,0
110,2,64000350,內門區,女,0,0
110,2,64000360,茂林區,計,0,0
110,2,64000360,茂林區,男,0,0
110,2,64000360,茂林區,女,0,0
110,2,64000370,桃源區,計,0,0
110,2,64000370,桃源區,男,0,0
110,2,64000370,桃源區,女,0,0
110,2,64000380,那瑪夏區,計,0,0
110,2,64000380,那瑪夏區,男,0,0
110,2,64000380,那瑪夏區,女,0,0
